Title,Staff,Format,Status,Cur Volumes,Max Volumes,Demographic,Cost,Score,Volumes Read,Notes
100-man no Inochi no Ue ni Ore wa Tatteiru,Nao Akinari | Naoki Yamakawa,Manga,Ongoing,0,15,,¥0,0,0,
Air Gear,Ito Oogure,Manga,Finished,37,37,,¥0,0,0,
Akabane Honeko no Bodyguard,Masamitsu Nigatsu,Manga,Ongoing,1,2,,¥0,0,0,
Akagami no Shirayuki-hime,Sorata Akizuki,Manga,Ongoing,8,25,,¥0,0,0,Missing Vol 2
Ao no Hako,Kouji Miura,Manga,Ongoing,3,8,,¥0,0,0,
Ase to Sekken,Kintetsu Yamada,Manga,Finished,11,11,,¥0,0,0,
Baccano!,Ryougo Narita | Katsumi Enami,Novel,Hiatus,0,34,,¥0,0,0,
Baki Dou,Keisuke Itagaki,Manga,Finished,0,22,,¥0,0,0,
Baki Dou (2018),Keisuke Itagaki,Manga,Ongoing,0,15,,¥0,0,0,
BEASTARS,Paru Itagaki,Manga,Finished,22,22,,¥666666.66,8.5,22,
BECK,Harold Sakuishi,Manga,Finished,0,35,,¥0,0,0,Includes Volume 0
Beelzebub,Ryuuhei Tamura,Manga,Finished,28,28,,¥0,0,0,Current set yellowed
Benriya Saitou-san, Isekai ni Iku,Kazutomo Ichitomo,Manga,Ongoing,0,8,,¥0,0,0,
BLACK BIRD,Kanoko Sakurakouji,Manga,Finished,18,18,,¥0,0,0,
Black Clover,Yuuki Tabata,Manga,Ongoing,8,33,,¥0,0,0,Volumes 3,
BLACK TORCH,Tsuyoshi Takaki,Manga,Finished,0,5,,¥0,0,0,OOP
BLEACH,Tite Kubo,Manga,Finished,0,74,,¥0,0,0,
Bocchi the Rock!,Aki Hamaji,Manga,Ongoing,5,5,,¥0,0,0,
Boku no Hero Academia,Kouhei Horikoshi,Manga,Ongoing,0,37,,¥0,0,0,
Bokurano,Mohiro Kitou,Manga,Finished,0,11,,¥0,0,0,
Break Blade,Yunosuke Yoshinaga,Manga,Finished,0,20,,¥0,0,0,
Bungou Stray Dogs,Kafka Asagiri | Harukawa35,Manga,Ongoing,0,23,,¥0,0,0,
Busou Renkin,Nobuhiro Watsuki,Manga,Finished,0,10,,¥0,0,0,OOP
Chi to Hai no Joou,Hajime Bako,Manga,Ongoing,0,18,,¥0,0,0,
Choujin X,Sui Ishida,Manga,Ongoing,5,6,,¥0,0,0,
Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,Yuuji Iwahara,Manga,Ongoing,5,6,,¥0,0,0,
D.Gray-man,Katsura Hoshino,Manga,Ongoing,1,28,,¥0,0,0,
Dance in the Vampire Bund,Nozomu Tamaki,Manga,Finished,0,14,,¥0,0,0,
Dance in the Vampire Bund: Age of Scarlet Order,Nozomu Tamaki,Manga,Ongoing,0,11,,¥0,0,0,
Dandadan,Yukinobu Tatsu,Manga,Ongoing,7,8,,¥0,0,0,
Darling in the Franxx,Kentarou Yabuki,Manga,Finished,8,8,,¥0,0,0,
DEATH NOTE,Takeshi Obata | Tsugumi Ooba,Manga,Finished,0,12,,¥0,7.8,0,
Demi-chan wa Kataritai,Petosu,Manga,Finished,11,11,,¥0,0,0,
Dimension W,Yuuji Iwahara,Manga,Finished,0,17,,¥0,0,0,Includes Vol 9.5 Handbook
Doron Dororon,Gen Oosuka,Manga,Finished,3,5,,¥0,0,0,
Dr. STONE,Riichirou Inagaki | Boichi,Manga,Finished,0,26,,¥0,0,0,
Dragon Ball,Akira Toriyama,Manga,Finished,1,42,,¥0,0,0,Vol - 40
Dragon Ball Super,Akira Toriyama | Toyotarou,Manga,Ongoing,0,19,,¥0,0,0,
Freezing,Dal-Young Im | Kwang-Hyun Kim,Manga,Hiatus,33,33,,¥0,0,0,
Freezing: First Chronicle,Jae-Ho Yoon | Dal-Young Im,Manga,Finished,0,1,,¥0,0,0,
Freezing: Zero,Dal-Young Im | Soo Cheol Jeong,Manga,Finished,0,9,,¥0,0,0,
Gachiakuta,Kei Urana,Manga,Ongoing,5,6,,¥0,0,0,
Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu,Akira Sawano | Enki Hakari | KeG,Manga,Ongoing,0,11,,¥0,0,0,
Gin no Saji,Hiromu Arakawa,Manga,Finished,0,15,,¥0,0,0,
Grand Blue,Kenji Inoue | Kimitake Yoshioka,Manga,Ongoing,0,19,,¥0,0,0,
Grappler Baki,Keisuke Itagaki,Manga,Finished,0,42,,¥0,0,0,
Groove Adventure Rave,Hiro Mashima,Manga,Finished,0,35,,¥0,0,0,OOP
Guilty Crown,Shion Mizuki | Yousuke Miyagi,Manga,Finished,0,7,,¥0,0,0,
Gun x Clover,D.P | Mikoto Yamaguchi,Manga,Finished,12,12,,¥0,0,0,
Hachigatsu Kokonoka Boku wa Kimi ni Kuwareru.,tomomi,Manga,Ongoing,2,4,,¥0,0,0,
Hagane no Renkinjutsushi,Hiromu Arakawa,Manga,Finished,5,27,,¥0,0,0,
Haikyuu!!,Haruichi Furudate,Manga,Finished,0,45,,¥0,0,0,
Hakaijuu,Shingo Honda,Manga,Finished,0,21,,¥0,0,0,
Hanma Baki,Keisuke Itagaki,Manga,Finished,0,37,,¥0,0,0,
HEART GEAR,Tsuyoshi Takaki,Manga,Ongoing,4,5,,¥0,0,0,
HUNTER×HUNTER,Yoshihiro Togashi,Manga,Ongoing,37,37,,¥0,0,0,
Ichinose-ke no Taizai,Taizan 5,Manga,Ongoing,0,1,,¥0,0,0,
Isekai Furin: Maou Toubatsu kara Juunen, Tsuma to wa Resu no Moto Yuusha to, Otto wo Nakushita Onna Senshi,Masakazu Ooi | Inomaru,Manga,Finished,2,3,,¥0,0,0,
Isekai Kaeri no Yuusha ga Gendai Saikyou!,Arata Shiraishi | Koban Sameda | TakayaKi,Manga,Ongoing,3,4,,¥0,0,0,
Isekai Meikyuu de Harem wo,Shachi Sogano | Hyouju Issei | Douji Shiki,Manga,Ongoing,8,8,,¥0,0,0,
Isekai Oji-san,Shindeiru Hotondo,Manga,Ongoing,9,9,,¥0,0,0,
Ishuzoku Reviewers,masha | Amahara,Manga,Ongoing,6,8,,¥0,0,0,
Jinrui wo Metsubou sasete wa Ikemasen,Kyuu Takahata | Yuuji Kaba,Manga,Finished,0,4,,¥0,0,0,
Jitsu wa Watashi wa,Eiji Masuda,Manga,Finished,22,22,,¥0,0,0,
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Hirohiko Araki,Manga,Finished,18,18,,¥0,0,0,
JoJo no Kimyou na Bouken: JoJolion,Hirohiko Araki,Manga,Finished,0,27,,¥0,0,0,
JoJo no Kimyou na Bouken: Ougon no Kaze,Hirohiko Araki,Manga,Finished,17,17,,¥0,0,0,
JoJo no Kimyou na Bouken: Phantom Blood,Hirohiko Araki,Manga,Finished,5,5,,¥0,0,0,
JoJo no Kimyou na Bouken: Sentou Chouryuu,Hirohiko Araki,Manga,Finished,7,7,,¥0,0,0,
JoJo no Kimyou na Bouken: Stardust Crusaders,Hirohiko Araki,Manga,Finished,16,16,,¥0,0,0,
JoJo no Kimyou na Bouken: Steel Ball Run,Hirohiko Araki,Manga,Finished,24,24,,¥0,0,0,
JoJo no Kimyou na Bouken: Stone Ocean,Hirohiko Araki,Manga,Finished,17,17,,¥0,0,0,
Joshikousei to Seishokusha-san,Roro Zaisei,Manga,Finished,1,3,,¥0,0,0,
Kaichou wa Maid-sama!,Hiro Fujiwara,Manga,Finished,0,18,,¥0,0,0,
Kaichou wa Maid-sama!: Marriage,Hiro Fujiwara,Manga,Finished,0,1,,¥0,0,0,
Kaii to Otome to Kamikakushi,Nujima,Manga,Ongoing,4,5,,¥0,0,0,
Kaijuu 8-gou,Naoya Matsumoto,Manga,Ongoing,7,8,,¥0,0,0,
